specimen;species;biogeo;land;habitat_broad;habitat;SVL;TrL;HL;HW;HH;Lhu;Lun;Lfe;Ltb
BM1946.8.20.5;Pristurus_sokotranus;Sokotra;island;rock;rock;37.17;17.34;9.45;5.96;5.04;5.24;6.17;7.8;8.41
BM1946.8.20.7;Pristurus_sokotranus;Sokotra;island;rock;rock;39.01;16.07;10.25;6.56;5.66;5.23;6.69;8.24;8.85
BM1946.8.20.8;Pristurus_sokotranus;Sokotra;island;rock;rock;32.48;14.53;8.6;5.55;4.46;4.53;5.04;7.01;7.41
BM1946.8.24.98;Pristurus_sokotranus;Sokotra;island;rock;rock;36.85;15.52;9.16;5.99;4.97;4.81;6.12;7.02;8.24
BM1953.1.7.175;Pristurus_sokotranus;Sokotra;island;rock;rock;31.8;13.8;8.1;5.46;4.13;4.59;5.43;6.55;7.14
BM1953.1.7.177;Pristurus_sokotranus;Sokotra;island;rock;rock;32.96;13.76;8.73;5.58;4.47;4.73;5.11;6.96;7.43
BM1953.1.7.178;Pristurus_sokotranus;Sokotra;island;rock;rock;34.45;15.74;8.54;6.08;4.52;5.04;5.91;7.16;7.79
BM1953.1.7.179;Pristurus_sokotranus;Sokotra;island;rock;rock;33.67;14.41;8.48;5.41;4.32;5.1;5.44;6.8;7.04
BM1965.1442;Pristurus_sokotranus;Sokotra;island;rock;rock;35.46;14.98;9.29;6.26;4.82;5.16;6.41;6.98;7.89
BM1965.1443;Pristurus_sokotranus;Sokotra;island;rock;rock;32.77;13.5;8.68;5.71;4.37;4.45;5.51;6.61;7.78
BM1965.1444;Pristurus_sokotranus;Sokotra;island;rock;rock;32.93;13.92;8.63;5.82;4.56;4.97;5.47;6.01;7
BM1965.1447;Pristurus_sokotranus;Sokotra;island;rock;rock;31.71;13.28;8.06;5.36;4.16;4.43;4.99;6.17;7.26
BM1967.503;Pristurus_sokotranus;Sokotra;island;rock;rock;36.42;16.73;9.09;6.21;5.22;4.21;5.59;7.01;7.53
BM1967.504;Pristurus_sokotranus;Sokotra;island;rock;rock;34.55;13.8;8.96;5.88;4.88;4.21;5.8;6.48;7.66
BM1967.505;Pristurus_sokotranus;Sokotra;island;rock;rock;33.35;14.46;8.7;5.72;4.66;4.61;5.74;7.46;8.42
BM1967.506;Pristurus_sokotranus;Sokotra;island;rock;rock;35.12;14.16;9.02;6.15;5.08;4.14;5.98;7.23;7.77
R-1436;Pristurus_sokotranus;Sokotra;island;rock;rock;35.9;14.97;9.39;5.9;4.43;5.64;6.5;7.52;8.41
R-1529-1;Pristurus_sokotranus;Sokotra;island;rock;rock;33.35;13.37;8.5;6.29;4.65;5.73;6.84;7.15;7.09
R-1529-2;Pristurus_sokotranus;Sokotra;island;rock;rock;34.24;14.84;8.88;6.14;4.27;5.44;5.8;7.18;7.12
R-1530;Pristurus_sokotranus;Sokotra;island;rock;rock;34.61;14.58;8.87;5.82;4.72;5.66;6.03;6.51;7.09
R-1533-1;Pristurus_sokotranus;Sokotra;island;rock;rock;32.81;14.09;8.04;5.47;4.32;5.63;6.33;6.8;7.35
R-1533-2;Pristurus_sokotranus;Sokotra;island;rock;rock;30.33;13.96;8.17;5.26;3.85;5.13;5.6;6.14;6.83
R-1538-1;Pristurus_sokotranus;Sokotra;island;rock;rock;36.68;14.66;9.99;5.98;4.43;5.64;6.08;7.32;7.83
R-1538-2;Pristurus_sokotranus;Sokotra;island;rock;rock;33.51;15.48;8.11;5.75;4.32;5.37;5.71;6.75;6.5
R-1538-3;Pristurus_sokotranus;Sokotra;island;rock;rock;35.32;15.44;8.29;5.8;5.11;6.12;5.93;6.61;7.3
R-1538-4;Pristurus_sokotranus;Sokotra;island;rock;rock;37.15;16.8;9.37;6.24;4.74;5.81;6.02;6.71;7.8
S5500;Pristurus_sokotranus;Sokotra;island;rock;rock;30.62;13.84;8.02;5.13;4.14;4.38;5.43;5.87;7.1
S5506;Pristurus_sokotranus;Sokotra;island;rock;rock;38.23;17.1;9.45;6.56;4.89;5.41;6.71;8.76;8.96
S5509;Pristurus_sokotranus;Sokotra;island;rock;rock;36.11;14.79;9.35;5.87;4.35;4.79;5.71;7.11;7.62
BM1931.7.20.242;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.15;11.55;7.72;5.09;4.24;4.84;5.36;6.13;7.09
BM1931.7.20.243;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.57;11.46;7.77;5.34;4.25;5.06;5.15;6.15;7.25
BM1931.7.20.244;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.73;11.42;7.55;5.45;4.01;5;5.45;6.74;7.37
BM1931.7.20.245;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.19;11.75;8.06;5.7;4.44;5.25;5.5;6.88;7.4
BM1931.8.1.121;Pristurus_somalicus;Africa;mainland;ground;soft-ground;23.35;9.44;6.54;4.51;3.84;4.44;4.89;5.15;6.6
BM1931.8.1.122;Pristurus_somalicus;Africa;mainland;ground;soft-ground;24.9;10.69;6.7;4.42;3.94;4.75;5.08;5.75;6.66
BM1931.8.1.123;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.39;10.25;6.9;4.97;3.91;4.88;5.12;5.8;6.92
BM1931.8.1.124;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.79;10.76;7.09;4.85;4.03;5.25;5.39;5.95;7.12
BM1937.12.5.189;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.14;10.78;6.98;4.74;3.93;5.01;5.3;5.65;6.79
BM1946.8.20.29;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.71;13.6;7.62;5.58;4.39;4.26;5.23;6.68;7.15
BM1946.8.24.55;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.09;12.15;7.36;5.61;4.44;4.25;5.05;6.54;7.47
BM1946.8.24.57;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.03;11.35;7.57;5.99;4.33;4.3;4.9;6.15;6.91
BM1946.8.24.62;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.54;12.62;7.44;5.93;4.48;4.28;5.54;6.95;8.11
BM1946.8.24.63;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.74;13.18;7.61;5.94;4.65;4.41;5.6;6.99;7.94
BM1946.8.24.64;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.76;11.24;7.09;5.35;4.48;4.89;5.06;6.35;7.4
BM1946.8.24.65;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.91;13.45;7.41;5.49;4.32;4.33;5.28;6.51;7.55
BM1946.8.24.67;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.23;13.93;7.48;5.96;4.44;4.13;5.03;7.05;7.23
BM1946.8.24.68;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.42;14.02;7.8;6.03;4.44;4.21;5.23;6.65;7.81
BM1946.8.24.69;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.74;12.57;8.05;6.32;4.42;4.59;5.21;6.87;7.16
BM1946.8.24.70;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.16;11.47;7.01;5.03;3.99;4.12;4.65;5.86;6.78
BM1946.8.24.72;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.71;13.49;7.55;5.68;4.4;4.29;5.11;6.26;7.39
BM1946.8.24.76;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.87;11.12;7.04;4.95;3.74;4.79;4.87;6.16;7.09
BM1946.8.24.77;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.2;11.77;7.2;5.69;3.93;4.37;5.7;6.99;7.15
BM1946.8.24.78;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.95;11.53;7.04;5.45;4.27;4.72;5.24;6.35;7.87
BM1946.8.24.79;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.1;12.73;7.63;5.78;4.7;4.65;5.8;6.76;7.11
BM1946.8.24.82;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.78;11.68;7.12;5.26;4.16;4.34;4.85;5.95;7.51
BM1946.8.24.85;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.82;11.58;8.21;5.79;4.51;4.19;5.25;6.65;7.9
BM1946.8.24.86;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.01;11.39;7.58;4.96;3.96;3.49;4.85;5.56;7.07
BM1946.8.24.87;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.44;11.99;6.9;5.01;3.95;4.18;4.48;6.4;6.96
BM1946.8.24.89;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.56;12.54;7.74;5.91;4.56;3.78;4.99;6.07;7.24
BM91.11.11.3;Pristurus_somalicus;Africa;mainland;ground;soft-ground;30.92;11.82;8.59;5.85;4.29;5.39;5.85;6.88;7.69
BM95.6.14.1;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.3;11.75;7.85;5.64;4.27;5.05;5.32;6.43;7.49
BM95.6.14.2;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.47;11.54;7.88;5.83;4.35;4.96;5.58;6.71;7.84
CN164;Pristurus_sp1;Arabia;mainland;rock;rock;25.46;9.97;6.43;4.6;3.29;3.76;4.38;5.31;5.82
CN8068;Pristurus_sp1;Arabia;mainland;rock;rock;24.09;10.23;6.33;4.99;3.38;3.88;4.14;5.42;5.53
CN8099;Pristurus_sp1;Arabia;mainland;rock;rock;28.07;11.63;7.19;5.4;3.75;4.19;4.83;6.11;6.63
CN8580;Pristurus_sp1;Arabia;mainland;rock;rock;29.15;12.45;7.21;5.57;4.08;4.61;4.94;6.18;6.64
CN8659;Pristurus_sp1;Arabia;mainland;rock;rock;24.74;10.16;6.36;4.73;3.5;3.71;3.91;5.37;5.46
JEM1;Pristurus_sp1;Arabia;mainland;rock;rock;26.23;12.31;6.54;5.22;3.88;3.62;3.98;5.18;5.31
JEM171;Pristurus_sp1;Arabia;mainland;rock;rock;24.32;10.18;6.01;4.66;3.41;3.38;3.88;5.03;4.88
JEM172;Pristurus_sp1;Arabia;mainland;rock;rock;24.95;11.61;5.87;4.82;3.31;3.54;3.76;4.7;4.88
JEM174;Pristurus_sp1;Arabia;mainland;rock;rock;21.96;9.04;5.56;4.34;3.18;3.12;3.48;4.43;4.67
JEM193;Pristurus_sp1;Arabia;mainland;rock;rock;21.83;9.28;5.55;4.18;3.29;2.99;3.18;4.01;4.2
JEM194;Pristurus_sp1;Arabia;mainland;rock;rock;21.41;9.21;5.46;4.14;3.21;3.23;3.36;4.19;4.41
JEM2;Pristurus_sp1;Arabia;mainland;rock;rock;25.05;10.43;6.46;5.08;3.74;3.57;3.67;5.77;5.68
JEM20;Pristurus_sp1;Arabia;mainland;rock;rock;27.22;11.88;6.73;5.62;4.05;4.01;4.17;5.27;5.19
JEM21;Pristurus_sp1;Arabia;mainland;rock;rock;24.43;10.19;6.18;4.69;3.49;3.53;3.71;4.66;4.97
JEM217;Pristurus_sp1;Arabia;mainland;rock;rock;23.37;10.25;5.74;4.49;3.39;3.04;3.51;4.21;4.47
JEM218;Pristurus_sp1;Arabia;mainland;rock;rock;20.09;7.83;5.34;4.08;3.28;3.03;3.24;3.79;4.08
JEM219;Pristurus_sp1;Arabia;mainland;rock;rock;20.67;7.94;5.21;4.06;3.23;2.74;3.14;4.09;4.24
JEM243;Pristurus_sp1;Arabia;mainland;rock;rock;21.73;8.77;5.33;4.21;2.89;2.92;3.27;4.16;4.41
JEM245;Pristurus_sp1;Arabia;mainland;rock;rock;20.22;8.11;5.54;4.29;3.33;2.96;3.29;4.19;4.46
JEM286;Pristurus_sp1;Arabia;mainland;rock;rock;26.24;11.45;6.44;4.98;3.78;4.07;4.34;5.06;5.49
JEM3;Pristurus_sp1;Arabia;mainland;rock;rock;25.74;11.11;6.04;4.89;3.62;3.41;3.86;4.94;5.06
JEM300;Pristurus_sp1;Arabia;mainland;rock;rock;26.94;11.84;6.65;5.27;3.77;3.97;4.14;5.21;5.33
JEM305;Pristurus_sp1;Arabia;mainland;rock;rock;19.87;8.46;5.31;4.12;2.96;2.73;3;3.56;3.98
JEM306;Pristurus_sp1;Arabia;mainland;rock;rock;25.32;10.31;6.59;5.01;3.58;3.97;4.52;5.72;6.19
JEM36;Pristurus_sp1;Arabia;mainland;rock;rock;25.63;10.97;6.14;4.63;3.51;3.54;4.31;5.14;5.68
JEM454;Pristurus_sp1;Arabia;mainland;rock;rock;26.19;11.46;6.44;5.14;3.82;3.99;4.14;5.19;5.32
JEM455;Pristurus_sp1;Arabia;mainland;rock;rock;26.28;11.52;6.7;5.16;3.88;4.06;4.31;5.31;5.61
JEM458;Pristurus_sp1;Arabia;mainland;rock;rock;27.07;12.06;6.81;5.31;3.83;4.27;4.61;5.43;5.71
JEM50;Pristurus_sp1;Arabia;mainland;rock;rock;23.36;10.21;5.77;4.33;3.31;3.24;4.02;4.65;4.85
JEM51;Pristurus_sp1;Arabia;mainland;rock;rock;24.42;10.72;5.88;4.53;3.44;3.87;4.07;4.74;5.22
JEM546;Pristurus_sp1;Arabia;mainland;rock;rock;21.04;8.46;5.27;4.15;3.03;3.1;3.54;4.34;4.51
JEM547;Pristurus_sp1;Arabia;mainland;rock;rock;22.96;10.86;5.92;4.31;3.39;3.41;3.61;4.28;4.77
JEM596;Pristurus_sp1;Arabia;mainland;rock;rock;21.38;8.18;5.66;4.48;3.11;3.08;3.59;4.38;4.65
JEM598;Pristurus_sp1;Arabia;mainland;rock;rock;23.46;10.16;6.07;4.46;3.24;3.26;4.04;4.96;5.47
JEM6;Pristurus_sp1;Arabia;mainland;rock;rock;27.26;11.68;6.82;5.06;3.89;4.1;4.57;5.65;6.11
JEM649;Pristurus_sp1;Arabia;mainland;rock;rock;23.39;10.21;6.11;4.73;3.38;3.11;3.97;5.18;5.31
JEM68;Pristurus_sp1;Arabia;mainland;rock;rock;26.67;10.83;6.65;4.71;3.73;4.15;4.56;5.42;5.95
JEM7;Pristurus_sp1;Arabia;mainland;rock;rock;22.82;9.14;5.77;4.4;3.41;3.37;3.41;4.45;4.71
JEM81;Pristurus_sp1;Arabia;mainland;rock;rock;24.94;10.08;6.18;4.51;3.4;3.16;3.93;4.93;5.48
JEM85;Pristurus_sp1;Arabia;mainland;rock;rock;24.73;10.33;6.33;4.65;3.33;3.44;4.18;5.43;5.56
JEM86;Pristurus_sp1;Arabia;mainland;rock;rock;23.93;10.14;6.17;4.66;3.46;3.44;4.04;5.27;5.36
S10411;Pristurus_sp1;Arabia;mainland;rock;rock;26.25;11.18;6.61;4.87;3.65;3.54;4.28;5.32;5.4
S10431;Pristurus_sp1;Arabia;mainland;rock;rock;25.16;10.4;6.28;4.91;3.73;3.55;4.08;5.22;5.33
S10455;Pristurus_sp1;Arabia;mainland;rock;rock;25.88;10.46;6.48;5.03;3.75;3.74;4.25;5.41;5.48
S10474;Pristurus_sp1;Arabia;mainland;rock;rock;23.27;9.41;5.96;4.53;3.55;3.54;4.19;4.87;5.38
S7160;Pristurus_sp1;Arabia;mainland;rock;rock;24.31;10.13;6.25;4.41;3.53;3.24;3.86;4.84;5.24
S7347;Pristurus_sp1;Arabia;mainland;rock;rock;23.18;9.86;5.91;4.35;3.4;3.17;3.54;4.76;4.98
S7645b;Pristurus_sp1;Arabia;mainland;rock;rock;20.82;7.98;5.36;3.96;3.09;3.04;3.46;4.23;4.36
S7648;Pristurus_sp1;Arabia;mainland;rock;rock;24.88;9.76;6.17;4.34;3.56;4.12;4.96;5.55;6.26
S7683;Pristurus_sp1;Arabia;mainland;rock;rock;22.42;9.18;5.91;4.48;3.31;3.34;3.88;5.29;5.32
S7692;Pristurus_sp1;Arabia;mainland;rock;rock;24.61;9.42;6.31;4.53;3.5;3.63;4.34;5.24;5.72
S7697;Pristurus_sp1;Arabia;mainland;rock;rock;23.33;9.34;6.06;4.36;3.64;3.18;3.96;5.07;5.21
S7923;Pristurus_sp1;Arabia;mainland;rock;rock;24.56;10.08;6.18;4.56;3.42;3.33;3.89;4.71;5.19
S7936;Pristurus_sp1;Arabia;mainland;rock;rock;28.76;12.04;6.89;5.36;4.13;4.31;4.72;5.47;5.74
S7973;Pristurus_sp1;Arabia;mainland;rock;rock;24.18;9.97;6.23;4.74;3.55;3.09;3.81;4.34;5.08
S7974;Pristurus_sp1;Arabia;mainland;rock;rock;22.24;9.05;5.88;4.25;3.54;3.32;3.89;4.75;5.26
BM1900.11.28.6;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;29.91;12.42;7.73;5.95;4.71;4.53;4.86;6.14;7.03
BM1900.11.28.7;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;27.28;11.24;7.18;5.56;4.29;3.26;3.96;5.33;5.76
BM1900.11.28.8;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;26.73;11.01;6.93;5.58;4.02;3.72;3.86;5.38;6.1
BM1900.11.28.9;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;25.85;11.24;6.97;5.31;4.09;3.47;3.84;5.02;5.39
BM1946.8.24.33;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;29.45;13.01;7.4;5.66;4.68;4.45;4.58;5.64;6.45
BM1956.1.3.1;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;29.4;11.68;7.72;6.11;4.47;3.99;4.56;5.39;5.7
BM1961.1091;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;26.45;11.11;6.77;4.94;4.33;4.01;4.85;6.19;6.83
BM1961.1092;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;30.32;11.96;7.61;6.1;4.48;4.59;4.63;6.16;6.69
BM98.5.21.1;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;30.86;12.87;7.86;5.14;4.21;4.46;4.74;6.32;6.93
BM98.5.21.2;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;25.57;10.47;6.22;4.65;3.58;3.43;3.73;4.67;5.17
BM98.5.21.3;Pristurus_phillipsii;Africa;mainland;ground;soft-ground;24.65;10.27;6.34;4.28;3.51;3.37;3.67;4.8;5.03
BM1968.1247;Pristurus_simonettai;Africa;mainland;ground;soft-ground;23.38;10.27;5.91;3.81;3.08;3.46;3.81;4.87;5.97
BM1987.1567;Pristurus_simonettai;Africa;mainland;ground;soft-ground;23.29;10.28;5.54;3.8;2.74;3.78;3.8;4.89;5.72
BM1988.303;Pristurus_saada;Arabia;mainland;ground;hard-ground;31.05;13.64;8.05;6.92;4.86;4.41;4.76;6.45;6.44
BM1988.304;Pristurus_saada;Arabia;mainland;ground;hard-ground;37.04;13.84;9.52;8.36;6.16;6.01;6.12;7.95;8.86
BM1988.305;Pristurus_saada;Arabia;mainland;ground;hard-ground;29.16;11.71;8.01;6.52;4.82;4.19;4.61;6.64;6.59
BM1988.306;Pristurus_saada;Arabia;mainland;ground;hard-ground;36.62;15.75;9.33;8.27;5.94;5.51;6.03;7.67;8.36
IBECN219;Pristurus_minimus;Arabia;mainland;ground;soft-ground;24.1;10.85;6.28;3.96;3.54;3.71;3.54;3.74;5.57
IBECN3521;Pristurus_minimus;Arabia;mainland;ground;soft-ground;25.88;11.77;6.34;4.01;3.45;4.4;4.11;5.07;6.1
IBECN4169;Pristurus_minimus;Arabia;mainland;ground;soft-ground;21.42;9.15;5.68;3.56;2.85;3.16;3.4;4.16;4.73
IBECN4253;Pristurus_minimus;Arabia;mainland;ground;soft-ground;23.05;10.68;5.98;3.51;2.64;3.45;3.02;4.4;4.92
IBECN4364;Pristurus_minimus;Arabia;mainland;ground;soft-ground;26.29;12.05;6.43;4.2;3.74;3.3;3.77;4.67;5.27
IBECN4384;Pristurus_minimus;Arabia;mainland;ground;soft-ground;24.18;12.14;5.92;3.42;2.89;3.56;3.56;4.99;5.49
IBECN8634;Pristurus_minimus;Arabia;mainland;ground;soft-ground;21.81;10.1;5.23;3.35;2.85;3.18;3.45;4.11;5.17
IBECN95;Pristurus_minimus;Arabia;mainland;ground;soft-ground;23.52;11.31;5.94;3.8;3.59;3.29;3.59;4.19;5.38
IBES1690;Pristurus_minimus;Arabia;mainland;ground;soft-ground;25.53;11.35;5.9;3.62;2.88;4.11;3.44;4.52;5.25
IBES7679;Pristurus_minimus;Arabia;mainland;ground;soft-ground;24.69;10.06;5.9;3.83;3.29;3.9;3.44;5.05;5.58
IBES7712;Pristurus_minimus;Arabia;mainland;ground;soft-ground;27.16;12.54;6.43;3.99;2.73;4.45;3.56;5.33;6.57
IBECN2780;Pristurus_minimus;Arabia;mainland;ground;soft-ground;26.37;12.05;6.68;4.27;3.7;3.54;4.17;5.11;6.71
IBECN3473;Pristurus_minimus;Arabia;mainland;ground;soft-ground;27.08;12.12;6.63;4.56;3.77;4;4.19;5.11;6.32
IBECN3492;Pristurus_minimus;Arabia;mainland;ground;soft-ground;27.09;12.52;6.71;4.45;3.84;4.1;3.78;4.83;5.93
IBECN3504;Pristurus_minimus;Arabia;mainland;ground;soft-ground;27.68;12.87;6.54;4.05;3.3;3.48;3.99;4.41;6.06
IBECN3695;Pristurus_minimus;Arabia;mainland;ground;soft-ground;27.67;11.76;6.78;4.27;3.56;3.88;4.22;5.62;6.22
IBECN4028;Pristurus_minimus;Arabia;mainland;ground;soft-ground;22.98;10.74;5.78;3.76;3.06;3.11;3.48;4.45;6.69
IBECN5846;Pristurus_minimus;Arabia;mainland;ground;soft-ground;25.35;12.03;6.13;4.11;3.49;3.19;3.6;5.18;6.44
IBECN5852;Pristurus_minimus;Arabia;mainland;ground;soft-ground;26.98;11.21;6.84;4.36;3.86;3.92;4.04;5.16;5.88
IBECN7283;Pristurus_minimus;Arabia;mainland;ground;soft-ground;23.73;11.31;6.05;4;3.22;3.61;3.55;4.71;5.32
IBES1686;Pristurus_minimus;Arabia;mainland;ground;soft-ground;19.86;8.36;5.03;3.11;2.41;3.18;2.65;3.99;3.37
IBES7322;Pristurus_minimus;Arabia;mainland;ground;soft-ground;26.31;12.14;5.92;3.96;3.24;3.81;3.38;5.03;5.08
IBES7701;Pristurus_minimus;Arabia;mainland;ground;soft-ground;28.39;13.21;6.4;4.42;3.74;4.35;3.98;5.26;6.14
IBES7817;Pristurus_minimus;Arabia;mainland;ground;soft-ground;19.75;8.76;5.11;3.2;2.79;3.17;2.78;3.86;4.24
IBES7990;Pristurus_minimus;Arabia;mainland;ground;soft-ground;23.83;10.36;5.84;3.87;3.22;3.1;3.51;5.11;5.6
IBECN4038;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.77;8.51;4.27;2.64;2.22;3.11;2.94;3.64;4.33
IBECN7238;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.45;7.09;4.62;2.87;2.43;2.25;2.79;3.68;4.17
IBECN8029;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;20.03;9.37;5.03;2.95;2.56;2.63;3.13;3.43;4.45
IBECN8976;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;20.25;8.53;4.94;3;2.73;3.36;2.68;3.97;4.4
IBECN7257;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;19.06;8.39;4.79;3.07;2.9;3.07;2.7;3.77;4.41
IBECN7961;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.97;7.95;4.82;3.09;2.74;2.73;2.77;3.67;4.34
IBECN8038;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.38;6.89;4.11;2.62;2.37;2.32;2.35;3.15;3.55
IBECN8063;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.52;8.28;4.63;2.75;2.58;2.91;2.71;3.5;4.66
NHMUK2019.2894;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;17.44;7.32;4.45;2.67;2.59;2.28;3.11;3.17;3.94
IBECN8650;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;18.71;7.36;4.11;2.63;2.32;2.74;2.81;3.81;4.8
IBECN8961;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;21.13;8.67;5.21;3.17;2.86;3.3;3.08;3.94;5.17
ONHM4238;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;21.52;10.11;5.02;3.27;2.72;2.96;2.84;4.46;4.11
IBES1899;Pristurus_masirahensis;Arabia;mainland;ground;soft-ground;15.59;6.74;4.15;2.54;2.08;2.25;2.02;3.14;3.29