;Pristurus_carteri;Pristurus_collaris;Pristurus_crucifer;Pristurus_masirahensis;Pristurus_minimus;Pristurus_ornithocephalus;Pristurus_phillipsii;Pristurus_somalicus;Pristurus_abdelkuri;Pristurus_celerrimus;Pristurus_insignis;Pristurus_insignoides;Pristurus_popovi;Pristurus_rupestris;Pristurus_samhaensis;Pristurus_sokotranus;Pristurus_sp1;Pristurus_sp2;Pristurus_sp3;Pristurus_sp5;Pristurus_gallagheri;Pristurus_guichardi;Pristurus_obsti;Pristurus_sp10;Pristurus_sp11
Pristurus_carteri;1;0.99;0.9;1;0.98;0.87;0.99;0.75;0.91;0.99;0.98;0.64;0.97;0.96;0.94;0.99;1;0.91;0.95;0.92;0.99;0.99;0.93;0.99;0.99
Pristurus_collaris;0.99;1;0.89;0.99;0.97;0.9;0.98;0.79;0.88;0.98;0.97;0.62;0.96;0.94;0.9;0.99;0.98;0.91;0.93;0.91;0.98;0.98;0.94;0.98;0.98
Pristurus_crucifer;0.9;0.89;1;0.89;0.91;0.86;0.83;0.8;0.73;0.89;0.94;0.76;0.9;0.84;0.78;0.88;0.88;0.93;0.93;0.73;0.89;0.9;0.88;0.88;0.84
Pristurus_masirahensis;1;0.99;0.89;1;0.96;0.84;0.99;0.7;0.93;0.97;0.98;0.61;0.95;0.96;0.96;0.98;1;0.89;0.94;0.94;1;0.99;0.94;0.98;0.99
Pristurus_minimus;0.98;0.97;0.91;0.96;1;0.94;0.96;0.8;0.84;0.98;0.97;0.74;0.97;0.95;0.86;0.99;0.96;0.91;0.96;0.82;0.96;0.98;0.89;0.97;0.96
Pristurus_ornithocephalus;0.87;0.9;0.86;0.84;0.94;1;0.84;0.86;0.62;0.91;0.87;0.65;0.88;0.81;0.67;0.91;0.84;0.82;0.83;0.67;0.83;0.85;0.8;0.87;0.84
Pristurus_phillipsii;0.99;0.98;0.83;0.99;0.96;0.84;1;0.67;0.94;0.97;0.96;0.57;0.94;0.97;0.95;0.98;0.99;0.85;0.91;0.94;0.99;0.98;0.92;0.98;1
Pristurus_somalicus;0.75;0.79;0.8;0.7;0.8;0.86;0.67;1;0.51;0.79;0.78;0.7;0.82;0.61;0.5;0.78;0.71;0.87;0.79;0.53;0.72;0.73;0.67;0.69;0.69
Pristurus_abdelkuri;0.91;0.88;0.73;0.93;0.84;0.62;0.94;0.51;1;0.87;0.88;0.54;0.86;0.91;0.96;0.88;0.94;0.79;0.86;0.94;0.94;0.93;0.82;0.9;0.94
Pristurus_celerrimus;0.99;0.98;0.89;0.97;0.98;0.91;0.97;0.79;0.87;1;0.95;0.67;0.98;0.92;0.9;0.99;0.98;0.9;0.94;0.89;0.97;0.96;0.88;0.99;0.97
Pristurus_insignis;0.98;0.97;0.94;0.98;0.97;0.87;0.96;0.78;0.88;0.95;1;0.67;0.95;0.95;0.9;0.96;0.97;0.94;0.97;0.86;0.98;0.98;0.95;0.95;0.95
Pristurus_insignoides;0.64;0.62;0.76;0.61;0.74;0.65;0.57;0.7;0.54;0.67;0.67;1;0.77;0.64;0.48;0.66;0.64;0.83;0.82;0.39;0.62;0.69;0.45;0.63;0.62
Pristurus_popovi;0.97;0.96;0.9;0.95;0.97;0.88;0.94;0.82;0.86;0.98;0.95;0.77;1;0.91;0.88;0.97;0.97;0.95;0.97;0.86;0.96;0.96;0.84;0.96;0.96
Pristurus_rupestris;0.96;0.94;0.84;0.96;0.95;0.81;0.97;0.61;0.91;0.92;0.95;0.64;0.91;1;0.91;0.95;0.96;0.85;0.94;0.85;0.95;0.97;0.9;0.95;0.96
Pristurus_samhaensis;0.94;0.9;0.78;0.96;0.86;0.67;0.95;0.5;0.96;0.9;0.9;0.48;0.88;0.91;1;0.89;0.96;0.78;0.86;0.98;0.96;0.92;0.88;0.94;0.95
Pristurus_sokotranus;0.99;0.99;0.88;0.98;0.99;0.91;0.98;0.78;0.88;0.99;0.96;0.66;0.97;0.95;0.89;1;0.98;0.9;0.94;0.89;0.98;0.98;0.9;0.98;0.99
Pristurus_sp1;1;0.98;0.88;1;0.96;0.84;0.99;0.71;0.94;0.98;0.97;0.64;0.97;0.96;0.96;0.98;1;0.9;0.94;0.94;1;0.99;0.92;0.99;0.99
Pristurus_sp2;0.91;0.91;0.93;0.89;0.91;0.82;0.85;0.87;0.79;0.9;0.94;0.83;0.95;0.85;0.78;0.9;0.9;1;0.98;0.74;0.9;0.92;0.83;0.86;0.87
Pristurus_sp3;0.95;0.93;0.93;0.94;0.96;0.83;0.91;0.79;0.86;0.94;0.97;0.82;0.97;0.94;0.86;0.94;0.94;0.98;1;0.8;0.94;0.96;0.86;0.92;0.93
Pristurus_sp5;0.92;0.91;0.73;0.94;0.82;0.67;0.94;0.53;0.94;0.89;0.86;0.39;0.86;0.85;0.98;0.89;0.94;0.74;0.8;1;0.94;0.89;0.86;0.92;0.93
Pristurus_gallagheri;0.99;0.98;0.89;1;0.96;0.83;0.99;0.72;0.94;0.97;0.98;0.62;0.96;0.95;0.96;0.98;1;0.9;0.94;0.94;1;0.99;0.93;0.98;0.99
Pristurus_guichardi;0.99;0.98;0.9;0.99;0.98;0.85;0.98;0.73;0.93;0.96;0.98;0.69;0.96;0.97;0.92;0.98;0.99;0.92;0.96;0.89;0.99;1;0.92;0.97;0.98
Pristurus_obsti;0.93;0.94;0.88;0.94;0.89;0.8;0.92;0.67;0.82;0.88;0.95;0.45;0.84;0.9;0.88;0.9;0.92;0.83;0.86;0.86;0.93;0.92;1;0.9;0.89
Pristurus_sp10;0.99;0.98;0.88;0.98;0.97;0.87;0.98;0.69;0.9;0.99;0.95;0.63;0.96;0.95;0.94;0.98;0.99;0.86;0.92;0.92;0.98;0.97;0.9;1;0.99
Pristurus_sp11;0.99;0.98;0.84;0.99;0.96;0.84;1;0.69;0.94;0.97;0.95;0.62;0.96;0.96;0.95;0.99;0.99;0.87;0.93;0.93;0.99;0.98;0.89;0.99;1
