;hab;Pristurus_carteri;Pristurus_collaris;Pristurus_crucifer;Pristurus_masirahensis;Pristurus_minimus;Pristurus_ornithocephalus;Pristurus_phillipsii;Pristurus_somalicus;Pristurus_abdelkuri;Pristurus_celerrimus;Pristurus_insignis;Pristurus_insignoides;Pristurus_popovi;Pristurus_rupestris;Pristurus_samhaensis;Pristurus_sokotranus;Pristurus_sp1;Pristurus_sp2;Pristurus_sp3;Pristurus_sp5;Pristurus_gallagheri;Pristurus_guichardi;Pristurus_obsti;Pristurus_sp10;Pristurus_sp11
Pristurus_carteri;ground;0;6.31;26.18;5.28;12.71;29.36;8.89;41.49;23.87;9.44;12.42;49.86;13.67;17.19;20.58;7.04;4.42;24.62;18.25;22.61;5.82;8.66;21.95;8.48;7.87
Pristurus_collaris;ground;0.99;0;27.06;9.78;13.57;26.46;11.78;38.13;28.08;11.26;13.75;51.83;15.99;19.76;25.18;6.44;10.29;25.01;20.86;25.16;10.45;11.74;20.49;12.51;11.75
Pristurus_crucifer;ground;0.9;0.89;0;27.17;23.92;31.05;33.75;37.18;43.26;26.94;20.54;40.23;25.85;32.45;38.5;27.96;28.21;20.85;21.51;43.16;26.93;26.11;27.87;28.4;32.92
Pristurus_masirahensis;ground;1;0.99;0.89;0;15.74;32.98;7.67;45.3;20.91;13.87;11.59;52.22;17.85;15.34;17.13;11.47;4.67;26.86;19.55;20.75;3.64;8.31;19.54;10.47;8.3
Pristurus_minimus;ground;0.98;0.97;0.91;0.96;0;20.74;16.93;37.31;32.68;11.84;14.45;42.68;14;17.91;31.04;9.17;15.51;23.82;16.45;34.46;17.17;12.58;27.65;14.08;15.48
Pristurus_ornithocephalus;ground;0.87;0.9;0.86;0.84;0.94;0;33.11;30.34;51.34;24.51;29.99;49.41;28.7;36.11;48.25;24.13;33.13;35.16;33.86;47.98;34.06;31.61;36.43;29.19;32.93
Pristurus_phillipsii;ground;0.99;0.98;0.83;0.99;0.96;0.84;0;47.94;20.23;14.7;17.2;55.37;20.12;15.04;17.88;11.34;7.9;32.18;24.07;19.86;9.67;11.64;23.71;10.56;4.59
Pristurus_somalicus;ground;0.75;0.79;0.8;0.7;0.8;0.86;0.67;0;59.12;37.53;39.17;45.42;35.27;52.13;59.95;38.5;44.85;29.38;38.25;58.11;44.21;42.7;47.92;46.14;46.51
Pristurus_abdelkuri;rock;0.91;0.88;0.73;0.93;0.84;0.62;0.94;0.51;0;29.74;28.78;57.26;30.28;25.15;15.47;28.35;19.95;38;30.7;19.57;19.93;22.01;35.28;25.77;19.37
Pristurus_celerrimus;rock;0.99;0.98;0.89;0.97;0.98;0.91;0.97;0.79;0.87;0;17.48;47.87;10.11;23.65;26.19;8.41;11.48;25.4;20.58;26.54;13.51;15.63;28.4;9.77;13.03
Pristurus_insignis;rock;0.98;0.97;0.94;0.98;0.97;0.87;0.96;0.78;0.88;0.95;0;47.7;18.85;18.16;26.15;15.63;14.43;20.71;14.75;30.9;12.39;11.19;18.06;18.56;17.58
Pristurus_insignoides;rock;0.64;0.62;0.76;0.61;0.74;0.65;0.57;0.7;0.54;0.67;0.67;0;39.94;49.91;61.19;48.4;50.44;33.92;35.09;67.29;51.67;46.02;63.01;51.01;51.67
Pristurus_popovi;rock;0.97;0.96;0.9;0.95;0.97;0.88;0.94;0.82;0.86;0.98;0.95;0.77;0;24.74;28.94;13.23;14.85;18.2;14.17;31.21;16.89;16.57;33.06;16.11;16.89
Pristurus_rupestris;rock;0.96;0.94;0.84;0.96;0.95;0.81;0.97;0.61;0.91;0.92;0.95;0.64;0.91;0;23.87;18.32;16.96;31.79;20.75;31.32;18.36;13.33;25.54;18.56;15.22
Pristurus_samhaensis;rock;0.94;0.9;0.78;0.96;0.86;0.67;0.95;0.5;0.96;0.9;0.9;0.48;0.88;0.91;0;26.52;16.89;38.5;30.78;12.46;16.9;23.06;28.2;20.22;18.74
Pristurus_sokotranus;rock;0.99;0.99;0.88;0.98;0.99;0.91;0.98;0.78;0.88;0.99;0.96;0.66;0.97;0.95;0.89;0;10.38;25.57;19.7;27.39;12.5;11.05;25.44;10.11;9.82
Pristurus_sp1;rock;1;0.98;0.88;1;0.96;0.84;0.99;0.71;0.94;0.98;0.97;0.64;0.97;0.96;0.96;0.98;0;26.33;19.11;19.81;4.31;9.1;23.74;8.41;6.25
Pristurus_sp2;rock;0.91;0.91;0.93;0.89;0.91;0.82;0.85;0.87;0.79;0.9;0.94;0.83;0.95;0.85;0.78;0.9;0.9;0;12.63;42.21;25.63;23.38;34.25;30.39;29.8
Pristurus_sp3;rock;0.95;0.93;0.93;0.94;0.96;0.83;0.91;0.79;0.86;0.94;0.97;0.82;0.97;0.94;0.86;0.94;0.94;0.98;0;37.16;19.46;15.25;30.8;22.83;21.63
Pristurus_sp5;rock;0.92;0.91;0.73;0.94;0.82;0.67;0.94;0.53;0.94;0.89;0.86;0.39;0.86;0.85;0.98;0.89;0.94;0.74;0.8;0;19.6;27.37;30.41;22.37;21
Pristurus_gallagheri;tree;0.99;0.98;0.89;1;0.96;0.83;0.99;0.72;0.94;0.97;0.98;0.62;0.96;0.95;0.96;0.98;1;0.9;0.94;0.94;0;9.3;20.98;11.52;9.4
Pristurus_guichardi;tree;0.99;0.98;0.9;0.99;0.98;0.85;0.98;0.73;0.93;0.96;0.98;0.69;0.96;0.97;0.92;0.98;0.99;0.92;0.96;0.89;0.99;0;23.64;14.02;9.99
Pristurus_obsti;tree;0.93;0.94;0.88;0.94;0.89;0.8;0.92;0.67;0.82;0.88;0.95;0.45;0.84;0.9;0.88;0.9;0.92;0.83;0.86;0.86;0.93;0.92;0;25.98;26.61
Pristurus_sp10;tree;0.99;0.98;0.88;0.98;0.97;0.87;0.98;0.69;0.9;0.99;0.95;0.63;0.96;0.95;0.94;0.98;0.99;0.86;0.92;0.92;0.98;0.97;0.9;0;9.58
Pristurus_sp11;tree;0.99;0.98;0.84;0.99;0.96;0.84;1;0.69;0.94;0.97;0.95;0.62;0.96;0.96;0.95;0.99;0.99;0.87;0.93;0.93;0.99;0.98;0.89;0.99;0